trope,count,movies_with_trope,avg_rating
Bodyguard Betrayal,6,"['ReturnoftheJedi', 'UncutGems', 'Ida', 'ToyStory3', 'TheGodfather', 'TheGodfatherPartII']",4.08
Bond Villain Stupidity,25,"['ReturnoftheJedi', 'ChildrenofMen', 'AvengersAgeofUltron', 'BatmanBegins', 'TheWolfofWallStreet', 'Spy', 'TheDarkKnightRises', 'HowtoTrainYourDragon2', 'Dogma', 'TheGrandBudapestHotel', 'TheNiceGuys', 'NowYouSeeMe2', 'TheHobbitAnUnexpectedJourney', 'BladeRunner', 'BabyDriver', 'AtomicBlonde', 'DieHardWithaVengeance', 'StarWarsTheLastJedi', 'TheMaskofZorro', 'SpiderManFarFromHome', 'StarTrekIIITheSearchforSpock', 'WhoFramedRogerRabbit', 'DunePartTwo', 'BlackPanther', 'Companion']",3.48
"Boom, Headshot!",51,"['ReturnoftheJedi', 'SchindlersList', 'BirdmanorTheUnexpectedVirtueofIgnorance', 'CaptainPhillips', 'TheHobbitTheDesolationofSmaug', 'EdgeofTomorrow', 'Spy', 'DonnieBrasco', 'Battleship', 'TheDeparted', 'TheBourneIdentity', 'TaxiDriver', 'HellorHighWater', 'HardcoreHenry', 'HacksawRidge', 'TheHobbitAnUnexpectedJourney', 'Jackie', 'BladeRunner', 'JohnWickChapter2', 'NoCountryforOldMen', 'PatriotsDay', 'Logan', 'BabyDriver', 'Terminator2JudgmentDay', 'AtomicBlonde', 'DieHard2', 'KingsmanTheGoldenCircle', 'StarshipTroopers', 'IndependenceDay', 'Annihilation', 'BlueVelvet', 'TheRoad', 'PrideandPrejudiceandZombies', 'JohnWickChapter3Parabellum', 'Hunger', 'ZeroDarkThirty', 'Joker', 'TheIrishman', 'UncutGems', 'InsideMan', 'MasterandCommanderTheFarSideoftheWorld', 'TheLordoftheRingsTheFellowshipoftheRing', 'TheDeathofStalin', 'Fargo', 'SwissArmyMan', 'TheGodfather', 'TheGodfatherPartII', 'RaidersoftheLostArk', 'LoveLiesBleeding', 'Companion', 'OneBattleAfterAnother']",3.44
Break Them by Talking,20,"['ReturnoftheJedi', 'BatmanBegins', 'TheHobbitTheDesolationofSmaug', 'StarWarsTheForceAwakens', 'TheDarkKnightRises', 'ADangerousMethod', 'TwelveAngryMen', 'TheNiceGuys', 'RogueOneAStarWarsStory', 'ThereWillBeBlood', 'GuardiansoftheGalaxyVol2', 'ThorRagnarok', 'GoodWillHunting', 'ApocalypseNow', 'TheMenu', 'ErinBrockovich', 'TheCelebration', 'GirlInterrupted', 'KPopDemonHunters', 'Snowpiercer']",3.60
Building Swing,5,"['ReturnoftheJedi', 'TheMaskofZorro', 'SpiderManHomecoming', 'SpiderManFarFromHome', 'SpiderManIntotheSpiderVerse']",3.20
Big Fancy House,24,"['Sicario', 'TheWolfofWallStreet', 'Argo', 'TheDevilWearsPrada', 'TheDeparted', 'BigHero6', 'TwelveYearsASlave', 'HotFuzz', 'CrazyRichAsians', 'KnivesOut', 'EyesWideShut', 'PathsofGlory', 'Clueless', 'Bottoms', 'Anora', 'TheGodfather', 'TheGodfatherPartII', 'HomeAlone', 'MulhollandDrive', 'LoveLiesBleeding', 'KissKissBangBang', 'TheRemainsoftheDay', 'GlassOnion', 'SentimentalValue']",3.75
Black-and-Gray Morality,36,"['Sicario', 'PulpFiction', 'SchindlersList', 'KillBill', 'DjangoUnchained', 'TheWolfofWallStreet', 'TheHatefulEight', 'TheDeparted', 'TheBreakfastClub', 'TheGrandBudapestHotel', 'CityofGod', 'Whiplash', 'RogueOneAStarWarsStory', 'Inception', 'BladeRunner', 'NoCountryforOldMen', 'ThereWillBeBlood', 'District9', 'AtomicBlonde', 'Prisoners', 'OBrotherWhereArtThou', 'InglouriousBasterds', 'ZeroDarkThirty', 'Joker', 'TheBigShort', 'ThePrestige', 'TheGoodtheBadandtheUgly', 'JojoRabbit', 'DoubleIndemnity', 'TheMenu', 'Oppenheimer', 'TheDeathofStalin', 'BloodSimple', 'OneBattleAfterAnother', 'Glory', 'Snowpiercer']",3.85
Blackmail,13,"['Sicario', 'AmericanBeauty', 'BatmanBegins', 'TheGreenMile', 'TheImitationGame', 'AllAboutEve', 'FightClub', 'BlowOut', 'Andhadhun', 'TheInvisibleGuest', 'WhoFramedRogerRabbit', 'LoveLiesBleeding', 'LAConfidential']",3.92
Booby Trap,6,"['Sicario', 'Badlands1973', 'TheGoonies', 'NineteenSeventeen', 'HomeAlone', 'RaidersoftheLostArk']",3.50
Bulletproof Vest,12,"['Sicario', 'BatmanBegins', 'JohnWickChapter2', 'HotFuzz', 'District9', 'Terminator2JudgmentDay', 'Outland', 'JohnWickChapter4', 'WindRiver', 'TheLordoftheRingsTheFellowshipoftheRing', 'TheGodfather', 'TheGodfatherPartII']",3.88
Bunny-Ears Lawyer,27,"['Sicario', 'DjangoUnchained', 'Moneyball', 'TheDevilWearsPrada', 'ADangerousMethod', 'Frank', 'SunsetBoulevard', 'BabyDriver', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'AtomicBlonde', 'BlueVelvet', 'Network', 'GrizzlyMan', 'ApocalypseNow', 'MarriageStory', 'UncutGems', 'TheBigShort', 'PoliceAcademy', 'WildatHeart', 'Secretary', 'StarTrekVITheUndiscoveredCountry', 'TheProducers', 'TheBrutalist', 'BlackPanther', 'OneBattleAfterAnother', 'Amadeus', 'MyCousinVinny']",3.69
The Cartel,5,"['Sicario', 'Sicario', 'Snitch', 'NoCountryforOldMen', 'TheUnbearableWeightofMassiveTalent']",3.90
Catapult Nightmare,25,"['Sicario', 'InsideOut', 'PulpFiction', 'KillBill', 'BatmanBegins', 'EdgeofTomorrow', 'Vertigo', 'HacksawRidge', 'Aliens', 'ScottPilgrimvstheWorld', 'TheTerminator', 'Moana', 'GetOut', 'TheLordoftheRingsTheReturnoftheKing', 'KnivesOut', 'Luca', 'BloodSimple', 'ToyStory2', 'TheSubstance', 'ChickenRunDawnoftheNugget', 'TheDiscreetCharmoftheBourgeoisie', 'OfficeSpace', 'HowlsMovingCastle', 'TheIronGiant', 'TheBabadook']",3.76
Chekhov's Gun,216,"['Sicario', 'InsideOut', 'ExMachina', 'AntMan', 'TheShining', 'PulpFiction', 'Se7en', 'TheSilenceoftheLambs', 'AmericanBeauty', 'KillBill', 'ChildrenofMen', 'BirdmanorTheUnexpectedVirtueofIgnorance', 'DjangoUnchained', 'AvengersAgeofUltron', 'BatmanBegins', 'SlumdogMillionaire', 'TheGreenMile', 'TheDaVinciCode', 'TheHungerGames', 'Argo', 'Gravity', 'PacificRim', 'IronMan3', 'TheHobbitTheDesolationofSmaug', 'CaptainAmericaTheWinterSoldier', 'EdgeofTomorrow', 'Spy', 'StarWarsTheForceAwakens', 'Battleship', 'Carol', 'TheDeparted', 'CatchMeIfYouCan', 'BigHero6', 'RearWindow', 'HowtoTrainYourDragon2', 'Dogma', 'ShaunoftheDead', 'RatchetAndClank2016', 'CaptainAmericaCivilWar', 'DialMforMurder', 'BreakfastatTiffanys', 'ItsaWonderfulLife', 'Warcraft', 'TheNiceGuys', 'FindingDory', 'Frank', 'NowYouSeeMe2', 'ASingleMan', 'JasonBourne', 'CityofGod', 'TaxiDriver', 'HellorHighWater', 'HardcoreHenry', 'FantasticBeastsandWheretoFindThem', 'TwoThousandOneASpaceOdyssey', 'RogueOneAStarWarsStory', 'AssassinsCreed', 'Inception', 'PunchDrunkLove', 'RosemarysBaby', 'TheLobster', 'BladeRunner', 'SunsetBoulevard', 'HotFuzz', 'Aliens', 'District9', 'EuroTrip', 'ScottPilgrimvstheWorld', 'BabyDriver', 'Prometheus', 'WarforthePlanetoftheApes', 'Okja', 'TheTerminator', 'Terminator2JudgmentDay', 'EventHorizon', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'TheApartment', 'AtomicBlonde', 'ThorRagnarok', 'DieHard2', 'DieHardWithaVengeance', 'KingsmanTheGoldenCircle', 'LiveFreeorDieHard', 'Moana', 'GetOut', 'TheShapeofWater', 'TheFloridaProject', 'Prisoners', 'TheNeonDemon', 'IndependenceDay', 'LaLaLand', 'Hereditary', 'SpiritedAway', 'RomancingtheStone', 'TheGoonies', 'PansLabyrinth', 'ReadyPlayerOne', 'EnemyMine', 'CrazyRichAsians', 'OBrotherWhereArtThou', 'LaHaine', 'Possession', 'TheRoad', 'TheAbyss', 'BirdBox', 'InglouriousBasterds', 'Antichrist', 'JohnWickChapter3Parabellum', 'FunnyGames', 'TheConversation', 'OnceUponaTimeinHollywood', 'Searching', 'Chinatown', 'AdAstra', 'StarWarsTheRiseofSkywalker', 'TheLordoftheRingsTheTwoTowers', 'TheLordoftheRingsTheReturnoftheKing', 'NineteenSeventeen', 'UncutGems', 'KnivesOut', 'Machete', 'IDanielBlake', 'TheInvisibleGuest', 'Overlord', 'TheHandmaiden', 'Crash', 'Tenet', 'ChasingAmy', 'Hamilton', 'TheLegoMovie', 'BillAndTedsExcellentAdventure', 'AManCalledOve', 'PrivateLife', 'Outland', 'SixSouls', 'TheMaskofZorro', 'TheWorldsEnd', 'Onward', 'MoonriseKingdom', 'Raw', 'TheLastHouseontheLeft', 'Hush', 'Luca', 'SpiderManHomecoming', 'SpiderManFarFromHome', 'SpiderManNoWayHome', 'Booksmart', 'LookWhosBack', 'WhenHarryMetSally', 'RRR', 'TheHost', 'Us', 'TheMenu', 'InBruges', 'TriangleofSadness', 'TheUnbearableWeightofMassiveTalent', 'GoodLucktoYouLeoGrande', 'TheLivesofOthers', 'WindRiver', 'StandbyMe', 'TheDayAfterTomorrow', 'InsideMan', 'Nope', 'StarTrekVITheUndiscoveredCountry', 'AnatomyofaFall', 'Paddington', 'Paddington2', 'MasterandCommanderTheFarSideoftheWorld', 'AustinPowersInternationalManofMystery', 'TheDeathofStalin', 'WitnessfortheProsecution', 'Atonement', 'LaChimera', 'TheFallGuy', 'TheHoldovers', 'SnakesonaPlane', 'Bridesmaids', 'EverythingEverywhereAllatOnce', 'TenaciousDinThePickofDestiny', 'BloodSimple', 'ToyStory2', 'ToyStory1', 'TheSubstance', 'TheWildRobot', 'InsideOut2', 'Bottoms', 'RaidersoftheLostArk', 'Minari', 'Flow2024', 'ChickenRunDawnoftheNugget', 'LittleMissSunshine', 'BlackPanther', 'Mickey17', 'TheDiscreetCharmoftheBourgeoisie', 'TheSkinILiveIn', 'Friday', 'Sinners', 'OfficeSpace', 'SomeLikeItHot', 'TheRock', 'Companion', 'KissKissBangBang', 'MyOldAss', 'EighthGrade', 'LAConfidential', 'OneofThemDays', 'KPopDemonHunters', 'OneBattleAfterAnother', 'Rashomon', 'JeanneDielman23quaiduCommerce1080Bruxelles', 'GlassOnion', 'WakeUpDeadMan', 'PalmSprings', 'Snowpiercer', 'MartySupreme', 'MyCousinVinny']",3.44
Cold-Blooded Torture,17,"['Sicario', 'PulpFiction', 'ReservoirDogs', 'KillBill', 'ChildrenofMen', 'DjangoUnchained', 'BridgeofSpies', 'District9', 'TheShapeofWater', 'Prisoners', 'Brazil', 'TheGoodtheBadandtheUgly', 'TheHandmaiden', 'Tenet', 'Benedetta', 'RaidersoftheLostArk', 'PalmSprings']",3.76
Crapsack World,52,"['Sicario', 'Se7en', 'ChildrenofMen', 'Shame', 'BatmanBegins', 'PacificRim', 'TheHobbitTheDesolationofSmaug', 'IronSky', 'TheDeparted', 'RatchetAndClank2016', 'Casablanca', 'ItsaWonderfulLife', 'TaxiDriver', 'FantasticBeastsandWheretoFindThem', 'RogueOneAStarWarsStory', 'BladeRunner', 'JohnWickChapter2', 'NoCountryforOldMen', 'SunsetBoulevard', 'SynecdocheNewYork', 'District9', 'Alien3', 'TheTerminator', 'AtomicBlonde', 'ThorRagnarok', 'Network', 'ReadyPlayerOne', 'Akira', 'LaHaine', 'TheRoad', 'TheBreadwinner', 'ThePhantomMenace', 'SoylentGreen', 'SonofSaul', 'Brazil', 'EntertheVoid', 'Joker', 'Eraserhead', 'RayaandtheLastDragon', 'TheTrumanShow', 'AmericanPsycho', 'WildatHeart', 'Melancholia', 'Closer', 'StarTrekVTheFinalFrontier', 'WinterSleep', 'Idiocracy', 'OsloAugust31st', 'Bottoms', 'BoyzntheHood', 'Rashomon', 'Snowpiercer']",3.35
Cruel and Unusual Death,32,"['Sicario', 'DjangoUnchained', 'TheGreenMile', 'CaptainAmericaTheWinterSoldier', 'EdgeofTomorrow', 'TheHatefulEight', 'AmericanHistoryX', 'Alien3', 'AlienResurrection', 'Prometheus', 'Dunkirk', 'YouWereNeverReallyHere', 'DieHard2', 'TheShapeofWater', 'GrizzlyMan', 'RomancingtheStone', 'Possession', 'TheAbyss', 'Brazil', 'AdAstra', 'Midsommar', 'Tenet', 'Split', 'ThreeBillboardsOutsideEbbingMissouri', 'Hush', 'Us', 'WindRiver', 'Chernobyl', 'Nope', 'TheKillingFields', 'BloodSimple', 'Harakiri']",3.48
Cruel to Be Kind,8,"['Sicario', 'SchindlersList', 'IronMan3', 'ReadyPlayerOne', 'JojoRabbit', 'TheLordoftheRingsTheFellowshipoftheRing', 'TheAssistant', 'Glory']",3.81
Curb-Stomp Battle,69,"['Sicario', 'KillBill', 'ChildrenofMen', 'AvengersAgeofUltron', 'BatmanBegins', 'CaptainPhillips', 'TheHungerGames', 'ThisMeansWar', 'PacificRim', 'CaptainAmericaTheWinterSoldier', 'EdgeofTomorrow', 'Spy', 'StarWarsTheForceAwakens', 'Battleship', 'IronSky', 'TheDeparted', 'TheSwanPrincess', 'AmericanHistoryX', 'TheBreakfastClub', 'ShaunoftheDead', 'CaptainAmericaCivilWar', 'Warcraft', 'StraightOuttaCompton', 'FantasticBeastsandWheretoFindThem', 'RogueOneAStarWarsStory', 'PunchDrunkLove', 'BladeRunner', 'ManchesterbytheSea', 'Aliens', 'District9', 'TheTerminator', 'Terminator2JudgmentDay', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'YouWereNeverReallyHere', 'ThorRagnarok', 'DieHard2', 'Moana', 'TheMaster', 'IndependenceDay', 'EnemyMine', 'GoodWillHunting', 'OBrotherWhereArtThou', 'ApocalypseNow', 'Possession', 'TheAbyss', 'BigTroubleinLittleChina', 'JohnWickChapter3Parabellum', 'OnceUponaTimeinHollywood', 'StarWarsTheRiseofSkywalker', 'TheIrishman', 'TheLordoftheRingsTheTwoTowers', 'TheLordoftheRingsTheReturnoftheKing', 'Tenet', 'JojoRabbit', 'WildatHeart', 'SpiderManHomecoming', 'PathsofGlory', 'SpiderManIntotheSpiderVerse', 'StarTrekIVTheVoyageHome', 'StarTrekTheMotionPicture', 'DazedandConfused', 'ToyStory2', 'TheGodfather', 'TheGodfatherPartII', 'TheRock', 'TheIronGiant', 'BoyzntheHood', 'KPopDemonHunters', 'Glory']",3.47
Cycle of Revenge,15,"['Sicario', 'KillBill', 'BigHero6', 'AmericanHistoryX', 'CaptainAmericaCivilWar', 'NowYouSeeMe2', 'JasonBourne', 'JohnWickChapter2', 'TheSocialNetwork', 'LaHaine', 'ThePrestige', 'TheGodfather', 'TheGodfatherPartII', 'BlackPanther', 'BoyzntheHood']",3.77
Dead Guy on Display,6,"['Sicario', 'PacificRim', 'OntheWaterfront', 'AlienCovenant', 'JojoRabbit', 'TheMaskofZorro']",3.58
Dirty Cop,24,"['Sicario', 'Se7en', 'SchindlersList', 'TheDeparted', 'StraightOuttaCompton', 'CityofGod', 'HardcoreHenry', 'TheBigLebowski', 'Snitch', 'HotFuzz', 'BabyDriver', 'YouWereNeverReallyHere', 'BlueVelvet', 'MeanStreets', 'AllthePresidentsMen', 'SoylentGreen', 'HaroldAndKumarGoToWhiteCastle', 'WhenTheySeeUs', 'TwinPeaksFireWalkwithMe', 'GreenBook', 'TheGodfather', 'TheGodfatherPartII', 'LoveLiesBleeding', 'LAConfidential']",3.56
Disproportionate Retribution,60,"['Sicario', 'AntMan', 'ChildrenofMen', 'TheWolfofWallStreet', 'EscapefromAlcatraz', 'IronSky', 'ToKillaMockingbird', 'AmericanHistoryX', 'TheBreakfastClub', 'TheGrandBudapestHotel', 'ItsaWonderfulLife', 'StraightOuttaCompton', 'NowYouSeeMe2', 'FromDuskTillDawn', 'WarDogs', 'CityofGod', 'BadAss', 'TheBigLebowski', 'Inception', 'TheLobster', 'HotFuzz', 'Terminator2JudgmentDay', 'LettheRightOneIn', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'ThorRagnarok', 'KingsmanTheGoldenCircle', 'Network', 'SpiritedAway', 'ReadyPlayerOne', 'Roma', 'TheBreadwinner', 'WeirdScience', 'Brazil', 'Joker', 'TheIrishman', 'TheWitch', 'IntheNameoftheFather', 'TheRoadtoElDorado', 'AmericanPsycho', 'BoratSubsequentMoviefilm', 'SpiderManFarFromHome', 'TheMenu', 'JohnWickChapter4', 'StandbyMe', 'Dogtooth', 'TheDayAfterTomorrow', 'Paddington2', 'BloodSimple', 'ButImaCheerleader', 'InsideOut2', 'Bottoms', 'TheGodfather', 'TheGodfatherPartII', 'Harakiri', 'OfficeSpace', 'TheEmperorsNewGroove', 'BoyzntheHood', 'OneofThemDays', 'Snowpiercer', 'MyCousinVinny']",3.39
The Dog Bites Back,22,"['Sicario', 'ExMachina', 'DjangoUnchained', 'CityofGod', 'PunchDrunkLove', 'LettheRightOneIn', 'GetOut', 'TheGoonies', 'MeanStreets', 'KnivesOut', 'Tenet', 'Split', 'TheWorldsEnd', 'Mudbound', 'Luca', 'StandbyMe', 'ToyStory1', 'TheRockyHorrorPictureShow', 'OfficeSpace', 'TheEmperorsNewGroove', 'Up', 'JungleFever']",3.52
Downer Ending,84,"['Sicario', 'ExMachina', 'Se7en', 'ReservoirDogs', 'Memento', 'RequiemforaDream', 'BrokebackMountain', 'GoneGirl', 'Nightcrawler', 'TheGreenMile', 'MysticRiver', 'IronSky', 'Vertigo', 'AmericanHistoryX', 'CatonaHotTinRoof', 'TheBridgeontheRiverKwai', 'AStreetcarNamedDesire', 'ASingleMan', 'RosemarysBaby', 'ThereWillBeBlood', 'SynecdocheNewYork', 'DearZacharyALettertoaSonAboutHisFather', 'ItComesatNight', 'WarforthePlanetoftheApes', 'Badlands1973', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'BlowOut', 'TheDoors1991', 'TheFloridaProject', 'Network', 'Hereditary', 'EasyRider', 'LaHaine', 'ApocalypseNow', 'BlackMirrorBandersnatch', 'Possession', 'Bullhead', 'FunnyGames', 'SoylentGreen', 'TheConversation', 'SonofSaul', 'Brazil', 'Chinatown', 'TheFanatic', 'Joker', 'TheIrishman', 'UncutGems', 'Midsommar', 'TheLighthouse', 'TheWitch', 'TheBigShort', 'BicycleThieves', 'CriesandWhispers', 'AnAmericanWerewolfinLondon', 'Breathless', 'REC', 'SorryWeMissedYou', 'DoubleIndemnity', 'Veronica', 'SixSouls', 'Raw', 'TheLastHouseontheLeft', 'MemoriesofMurder', 'TheFrenchDispatchoftheLibertyKansasEveningSun', 'PathsofGlory', 'LookWhosBack', 'TheBansheesofInisherin', 'BarryLyndon', 'Closer', 'Tusk', 'IlPosto', 'Atonement', 'EverythingEverywhereAllatOnce', 'TheSubstance', 'TheProducers', 'OsloAugust31st', 'TheRockyHorrorPictureShow', 'MulhollandDrive', 'Claudine', 'Happiness', 'TheRemainsoftheDay', 'QuoVadisAida', 'Amadeus', 'Bugonia']",3.56
Elites Are More Glamorous,7,"['Sicario', 'JasonBourne', 'DieHardWithaVengeance', 'TheDeerHunter', 'ApocalypseNow', 'Tenet', 'TheRock']",3.36
Emerging from the Shadows,7,"['Sicario', 'Vertigo', 'RogueOneAStarWarsStory', 'ApocalypseNow', 'Eraserhead', 'KnivesOut', 'MulhollandDrive']",4.00
Enemy Civil War,6,"['Sicario', 'WarforthePlanetoftheApes', 'JohnWickChapter3Parabellum', 'JohnWickChapter4', 'TheKillingFields', 'TheRock']",3.17
Establishing Character Moment,122,"['Sicario', 'TheMartian', 'AntMan', 'TheShining', 'ReservoirDogs', 'SchindlersList', 'DjangoUnchained', 'Shame', 'SlumdogMillionaire', 'TheGreenMile', 'TheHungerGames', 'Gravity', 'AmericanHustle', 'PacificRim', 'TheHobbitTheDesolationofSmaug', 'EdgeofTomorrow', 'TheImitationGame', 'Battleship', 'TheDevilWearsPrada', 'TheHatefulEight', 'TheDeparted', 'TwelveAngryMen', 'Casablanca', 'ItsaWonderfulLife', 'StraightOuttaCompton', 'NowYouSeeMe2', 'CityofGod', 'GroundhogDay', 'TheBigLebowski', 'RogueOneAStarWarsStory', 'TheGreatEscape', 'TheHobbitAnUnexpectedJourney', 'HiddenFigures', 'BoogieNights', 'Aliens', 'District9', 'FightClub', 'TheSocialNetwork', 'BabyDriver', 'TheTerminator', 'Terminator2JudgmentDay', 'AtomicBlonde', 'YouWereNeverReallyHere', 'ThorRagnarok', 'DieHardWithaVengeance', 'Moana', 'ThePost', 'TheFloridaProject', 'Prisoners', 'IndependenceDay', 'SpiritedAway', 'GoodWillHunting', 'CrazyRichAsians', 'Bullhead', 'MeanStreets', 'Spotlight', 'WeNeedtoTalkAboutKevin', 'Searching', 'PerfectBlue', 'AdAstra', 'GreenRoom', 'TheIrishman', 'Midsommar', 'CoolHandLuke', 'Room', 'KnivesOut', 'TheWitch', 'TheBigShort', 'TheGoodtheBadandtheUgly', 'Overlord', 'AnAmericanWerewolfinLondon', 'JojoRabbit', 'Split', 'AManCalledOve', 'Arrival', 'DoubleIndemnity', 'KramervsKramer', 'TheMaskofZorro', 'SingStreet', 'ThreeBillboardsOutsideEbbingMissouri', 'TheLastHouseontheLeft', 'Dune1984', 'SpiderManHomecoming', 'FishTank', 'SoundofMetal', 'CallMebyYourName', 'RRR', 'GreenBook', 'JohnWickChapter4', 'TheLivesofOthers', 'GameNight', 'TheDayAfterTomorrow', 'Barbie', 'Nope', 'KillersoftheFlowerMoon', 'Paddington', 'PorcoRosso', 'MasterandCommanderTheFarSideoftheWorld', 'TheDeathofStalin', 'AWomanUndertheInfluence', 'TheHoldovers', 'LegallyBlonde', 'Bridesmaids', 'EverythingEverywhereAllatOnce', 'Fargo', 'ToyStory1', 'Clueless', 'InsideOut2', 'Anora', 'TheGodfather', 'TheGodfatherPartII', 'TheBrutalist', 'ChickenRunDawnoftheNugget', 'SevenSamurai', 'Happiness', 'LoveLiesBleeding', 'TheRock', 'RainMan', 'OneofThemDays', 'OneBattleAfterAnother', 'Amadeus', 'Snowpiercer']",3.53
Even Evil Has Loved Ones,38,"['Sicario', 'ReservoirDogs', 'DjangoUnchained', 'TheWolfofWallStreet', 'ThisMeansWar', 'TheHatefulEight', 'OntheWaterfront', 'TheBourneIdentity', 'CityofGod', 'HardcoreHenry', 'Snitch', 'ThereWillBeBlood', 'BabyDriver', 'Badlands1973', 'LettheRightOneIn', 'ThorRagnarok', 'DieHardWithaVengeance', 'Hereditary', 'SpiritedAway', 'GoodTime', 'GreenRoom', 'TheIrishman', 'TheMaskofZorro', 'SpringBreakers', 'PromisingYoungWoman', 'SpiderManHomecoming', 'InBruges', 'BarryLyndon', 'JohnWickChapter4', 'ThePoweroftheDog', 'TheKillingFields', 'TheZoneofInterest', 'TheDeathofStalin', 'WitnessfortheProsecution', 'InOrderofDisappearance', 'Mickey17', 'OneBattleAfterAnother', 'Snowpiercer']",3.49
Exact Words,62,"['Sicario', 'TheHungerGamesMockingjayPart2', 'TheSilenceoftheLambs', 'DjangoUnchained', 'TheWolfofWallStreet', 'ThisMeansWar', 'TheHobbitTheDesolationofSmaug', 'Battleship', 'CaptainAmericaCivilWar', 'CityofGod', 'GroundhogDay', 'CaptainFantastic', 'TheHobbitAnUnexpectedJourney', 'ThePianoTeacher', 'JohnWickChapter2', 'Fences', 'SunsetBoulevard', 'BabyDriver', 'Terminator2JudgmentDay', 'BlowOut', 'DieHardWithaVengeance', 'Prisoners', 'TheGoonies', 'PrideandPrejudiceandZombies', 'Spotlight', 'ThePhantomMenace', 'AllthePresidentsMen', 'JohnWickChapter3Parabellum', 'Chinatown', 'KnivesOut', 'Machete', 'ThePrestige', 'TheGoodtheBadandtheUgly', 'PoliceAcademy', 'TheMaskofZorro', 'Dune1984', 'WildatHeart', 'Luca', 'SpiderManHomecoming', 'LookWhosBack', 'JohnWickChapter4', 'StarTrekIVTheVoyageHome', 'InsideMan', 'PoorThings', 'TheDeathofStalin', 'WitnessfortheProsecution', 'ToyStory2', 'ToyStory1', 'TheSubstance', 'InsideOut2', 'TheGodfather', 'TheGodfatherPartII', 'MulhollandDrive', 'OfficeSpace', 'HowlsMovingCastle', 'Up', 'Companion', 'KissKissBangBang', 'OneofThemDays', 'Glory', 'WakeUpDeadMan', 'Snowpiercer']",3.40
Face Death with Dignity,40,"['Sicario', 'ReservoirDogs', 'SchindlersList', 'DjangoUnchained', 'Gravity', 'DonnieBrasco', 'TheDeparted', 'HellorHighWater', 'RogueOneAStarWarsStory', 'TheHobbitAnUnexpectedJourney', 'BladeRunner', 'JohnWickChapter2', 'NoCountryforOldMen', 'WarforthePlanetoftheApes', 'EventHorizon', 'ThorRagnarok', 'DancerintheDark', 'Annihilation', 'PansLabyrinth', 'TraintoBusan', 'TheAbyss', 'InglouriousBasterds', 'SoylentGreen', 'AllThatJazz', 'Midsommar', 'CriesandWhispers', 'TheHandmaiden', 'Tenet', 'PathsofGlory', 'Melancholia', 'TheMenu', 'InBruges', 'StarTrekIIITheSearchforSpock', 'TheDayAfterTomorrow', 'TheDeathofStalin', 'Atonement', 'TheRock', 'BoyzntheHood', 'Snowpiercer', 'TheThinRedLine']",3.45
Family-Values Villain,6,"['Sicario', 'ZeroDarkThirty', 'TheMaskofZorro', 'InsideMan', 'TheGodfather', 'TheGodfatherPartII']",3.50
Heroic BSoD,69,"['Sicario', 'TheHungerGamesMockingjayPart2', 'SchindlersList', 'BrokebackMountain', 'DjangoUnchained', 'CaptainPhillips', 'TheHungerGames', 'AmericanHustle', 'EdgeofTomorrow', 'LifeIsBeautiful', 'Carol', 'TheDeparted', 'Vertigo', 'Dogma', 'TheBreakfastClub', 'ShaunoftheDead', 'RatchetAndClank2016', 'Casablanca', 'BreakfastatTiffanys', 'FindingDory', 'Frank', 'TheBourneIdentity', 'GroundhogDay', 'HellorHighWater', 'TheGreatEscape', 'HacksawRidge', 'Jackie', 'Aliens', 'District9', 'TheRoyalTenenbaums', 'TheSocialNetwork', 'WarforthePlanetoftheApes', 'BlowOut', 'DieHard2', 'BattleoftheSexes', 'TheFloridaProject', 'TheDeerHunter', 'Valkyrie', 'ApocalypseNow', 'Spotlight', 'SoylentGreen', 'ZeroDarkThirty', 'ManonWire', 'Searching', 'Chinatown', 'EightAndAHalf', 'NineteenSeventeen', 'Room', 'TheBigShort', 'BicycleThieves', 'GraveoftheFireflies', 'TheLastHouseontheLeft', 'Incendies', 'TwinPeaksFireWalkwithMe', 'ThirteenLives', 'TheUnbearableWeightofMassiveTalent', 'StarTrekIIITheSearchforSpock', 'StarTrekTheMotionPicture', 'MasterandCommanderTheFarSideoftheWorld', 'LegallyBlonde', 'ToyStory2', 'ToyStory1', 'Pride', 'SevenSamurai', 'GirlInterrupted', 'LAConfidential', 'Rashomon', 'QuoVadisAida', 'TheThinRedLine']",3.54
Hollywood Healing,10,"['Sicario', 'TheShining', 'TheBreakfastClub', 'JohnWickChapter2', 'ThereWillBeBlood', 'Moon', 'RRR', 'Fargo', 'Bottoms', 'LoveLiesBleeding']",3.90
I Have a Family,11,"['Sicario', 'ReservoirDogs', 'HardcoreHenry', 'HacksawRidge', 'PatriotsDay', 'AllthePresidentsMen', 'NineteenSeventeen', 'CriesandWhispers', 'GameNight', 'TheSkinILiveIn', 'QuoVadisAida']",3.32
